ID,Difficulty,Question,Answer
1,1,Class is pass by _______,Reference
2,1,More than one classes being derived from one class,Hierarchical inheritance
3,1,Exception thrown when inserting any value in the wrong index,ArrayIndexOutOfBoundsException
4,1,Assignment of values to variables during run time,Late Binding
5,1,Combination of two or more inheritance types,Hybrid inheritance
6,1,Exception thrown when operation is done on a variable with null value,NullPointerException
7,1,A method which is automatically called when the object is made of scope or destroyed,Destructor
8,1,"A binding in which name can be associated with the class during compilation time, and it is also called as early Binding.",Static Binding
9,1,"A binding in which name can be associated with the class during execution time, and it is also called as Late Binding.",Dynamic Binding
10,1,This class type has at least one pure virtual function,Abstract class
11,1,Blueprint of an object,Definition of a class
12,1,A class inheriting a base class,Single level inheritance
13,1,When a class is derived from two or more classes,Multiple inheritance
14,1,An array of instances of class represented by single name,An array of objects
15,1,An operator which takes three arguments,Ternary operator
16,1,This should be used for safe downcast,Dynamic cast
17,2,A class which inherits one or more classes,Derived class
18,2,Instance of a class,Definition of an object
19,2,Problem arising during runtime,Exception
20,2,This keyword allows to access overridden methods and also to access hidden members of the superclass.,Super
21,2,Casting supertype to subtype,Downcasting
22,2,The feature by which one object can interact with another object,Message Passing
23,2,Class is _________ abstraction.,Logical
24,2,It is parent of any of its derived class,Base class
25,2,Exception thrown when dividing a number by zero,ArithmeticException
26,2,This keyword can be used for overloading,Operator
27,2,Assignment of values to variables during compile time,Early Binding
28,2,Access modifier used such that any non-subclass class outside the package may access it,Public
29,2,"Access modifier used such that only a subclass outside the same package, and any classes in the same package may access it",Protected
30,2,Access modifier used such that only classes in the same package may access it,No modifier
31,2,Access modifier used such that only the same class may access it,Private
32,3,Object is ________ abstraction.,Real
33,3,A way of combining various data members and member functions that operate on those data members into a single unit,Encapsulation
34,3,Defining more than one constructor in single class with different signature,Constructor overloading
35,3,"Members are secure as private, but can be inherited",Protected access specifier
36,3,"Value passed will get modified only inside the function, and it returns the same value whatever it is passed into the function.",Call by Value
37,3,Abstraction can apply to ____________,Control and data
38,3,Using the data and functions into derived segment,Inheritance
39,3,Keyword used as a pointer which differentiates between the current object with the global object. It refers to the current object.,This
40,3,Casting subtype to supertype,Upcasting
41,3,Abstraction gives higher degree of ________,Idealized interface
42,3,The ability for a message/data to be processed in more than one form,Polymorphism
43,3,Hiding the implementation and showing only the features,Abstraction
44,3,Handling of undefined class,ClassNotFoundException
45,3,Value passed will get modified in both inside and outside the functions and it returns the same or different value.,Call by Reference
46,3,The value returned when dynamic cast fails,null pointer
